hydro durablity,cryo durability,durability_frozen,f_trigger_frozen,f_unfrozen,unfrozen_coefficient,f_trigger_frozen_equivalent,f_unfrozen_equivalent,frozen_duration,frozen_duration_delta,prev_frozen_duration,prev_unfrozen_duration,total_prev_frozen_duration,total_prev_unfrozen_duration,effective_total_prev_frozen_duration,t_decay,decay_acceleration,base_decay_velocity,initial_decay_velocity,p,q,frozen_duration_expected,error,absolute error,mae,squared error,root mse,highest single absolute error
?,25,"2*min(hydro, cryo)",evidence where elemental sight would show frozen +1 frame later,,2,"basically move trigger frozen/unfrozen events to an earlier point if t_decay/purge_rate is 0 ""prev_f_unfrozen + min(prev_unfrozen_duration, effective_total_prev_frozen_duration / unfrozen_coefficient)""","""f_trigger_frozen_equivalent + frozen_duration""",f_unfrozen - f_trigger_frozen,frozen_duration - first_frozen_duration,,f_trigger_frozen - previous_f_unfrozen,sum(prev_frozen_duration),sum(prev_unfrozen_duration),total_prev_frozen_duration - unfrozen_coefficient * total_prev_unfrozen_duration,effective_total_prev_frozen_duration / fps,-2.5,-10,base_decay_velocity + t_decay * decay_acceleration ,initial_decay_velocity / (1/2*decay_acceleration),durability_frozen / (1/2*decay_acceleration),fps * (-p/2 + sqrt(p²/4 - q)),frozen_duration - frozen_duration_expected,,,,,
50,25,50,5406,5495,,5266,5355,89,-121,94,46,3605,1661.00,283,4.72,,,-21.79,17.43,-40.00,123.16,-34.16,34.16,,1167.24,,
50,25,50,5541,5633,,5401,5493,92,-118,89,46,3694,1707.00,280,4.67,,,-21.67,17.33,-40.00,123.74,-31.74,31.74,,1007.37,,
50,25,50,5675,5760,,5535,5620,85,-125,92,42,3786,1749.00,288,4.80,,,-22.00,17.60,-40.00,122.22,-37.22,37.22,,1385.21,,
50,25,50,5800,5885,,5660,5745,85,-125,85,40,3871,1789.00,293,4.88,,,-22.21,17.77,-40.00,121.29,-36.29,36.29,,1316.61,,
50,25,50,5968,6058,,5828,5918,90,-120,85,83,3956,1872.00,212,3.53,,,-18.83,15.07,-40.00,138.17,-48.17,48.17,,2320.62,,
50,25,50,6143,6242,,6003,6102,99,-111,90,85,4046,1957.00,132,2.20,,,-15.50,12.40,-40.00,159.40,-60.40,60.40,,3647.94,,
50,25,50,6301,6405,,6161,6265,104,-106,99,59,4145,2016.00,113,1.88,,,-14.71,11.77,-40.00,165.28,-61.28,61.28,,3754.63,,
50,25,50,6450,6548,,6310,6408,98,-112,104,45,4249,2061.00,127,2.12,,,-15.29,12.23,-40.00,160.91,-62.91,62.91,,3957.67,,
50,25,50,6600,6698,,6460,6558,98,-112,98,52,4347,2113.00,121,2.02,,,-15.04,12.03,-40.00,162.76,-64.76,64.76,,4193.42,,
50,25,50,6828,6947,,6667.5,6786.5,119,-91,98,109.5,4445,2222.50,0,0.00,,,-10.00,8.00,-40.00,209.00,-90.00,90.00,,8099.80,,
50,25,50,6981,7090,,6820.5,6929.5,109,-101,119,34,4564,2256.50,51,0.85,,,-12.13,9.70,-40.00,187.21,-78.21,78.21,,6116.18,,
50,25,50,7135,7243,,6974.5,7082.5,108,-102,109,45,4673,2301.50,70,1.17,,,-12.92,10.33,-40.00,180.00,-72.00,72.00,,5184.00,,
50,25,50,7315,7429,,7154.5,7268.5,114,-96,108,72,4781,2373.50,34,0.57,,,-11.42,9.13,-40.00,194.06,-80.06,80.06,,6408.89,,
50,25,50,7474,7584,,7313.5,7423.5,110,-100,114,45,4895,2418.50,58,0.97,,,-12.42,9.93,-40.00,184.50,-74.50,74.50,,5549.90,,
50,25,50,7629,7733,,7468.5,7572.5,104,-106,110,45,5005,2463.50,78,1.30,,,-13.25,10.60,-40.00,177.10,-73.10,73.10,,5343.61,,
50,25,50,7777,7876,,7616.5,7715.5,99,-111,104,44,5109,2507.50,94,1.57,,,-13.92,11.13,-40.00,171.53,-72.53,72.53,,5259.94,,
50,25,50,7924,8025,,7763.5,7864.5,101,-109,99,48,5208,2555.50,97,1.62,,,-14.04,11.23,-40.00,170.51,-69.51,69.51,,4832.00,,
50,25,50,8089,8192,,7928.5,8031.5,103,-107,101,64,5309,2619.50,70,1.17,,,-12.92,10.33,-40.00,180.00,-77.00,77.00,,5929.00,,
50,25,50,8242,8343,,8081.5,8182.5,101,-109,103,50,5412,2669.50,73,1.22,,,-13.04,10.43,-40.00,178.90,-77.90,77.90,,6068.95,,
50,25,50,8409,8510,,8248.5,8349.5,101,-109,101,66,5513,2735.50,42,0.70,,,-11.75,9.40,-40.00,190.78,-89.78,89.78,,8061.03,,
50,25,50,8566,8671,,8405.5,8510.5,105,-105,101,56,5614,2791.50,31,0.52,,,-11.29,9.03,-40.00,195.31,-90.31,90.31,,8155.12,,
50,25,50,8721,8824,,8560.5,8663.5,103,-107,105,50,5719,2841.50,36,0.60,,,-11.50,9.20,-40.00,193.23,-90.23,90.23,,8141.30,,
50,25,50,8878,8980,,8717.5,8819.5,102,-108,103,54,5822,2895.50,31,0.52,,,-11.29,9.03,-40.00,195.31,-93.31,93.31,,8705.95,,
50,25,50,9034,9132,,8873.5,8971.5,98,-112,102,54,5924,2949.50,25,0.42,,,-11.04,8.83,-40.00,197.84,-99.84,99.84,,9968.92,,
50,25,50,9164,9258,,9003.5,9097.5,94,-116,98,32,6022,2981.50,59,0.98,,,-12.46,9.97,-40.00,184.12,-90.12,90.12,,8120.88,,
50,25,50,9285,9374,,9124.5,9213.5,89,-121,94,27,6116,3008.50,99,1.65,,,-14.13,11.30,-40.00,169.84,-80.84,80.84,,6535.56,,
50,25,50,9411,9500,,9250.5,9339.5,89,-121,89,37,6205,3045.50,114,1.90,,,-14.75,11.80,-40.00,164.96,-75.96,75.96,,5769.41,,
50,25,50,9525,9608,,9364.5,9447.5,83,-127,89,25,6294,3070.50,153,2.55,,,-16.38,13.10,-40.00,153.30,-70.30,70.30,,4942.77,,
50,25,50,9659,9744,,9498.5,9583.5,85,-125,83,51,6377,3121.50,134,2.23,,,-15.58,12.47,-40.00,158.80,-73.80,73.80,,5446.46,,
50,25,50,9796,9883,,9635.5,9722.5,87,-123,85,52,6462,3173.50,115,1.92,,,-14.79,11.83,-40.00,,,,,,,
50,25,50,10035,10147,,9823.5,9935.5,112,-98,87,101,6549,3274.50,0,0.00,,,-10.00,8.00,-40.00,,,,,,,
50,25,50,10194,10302,,9982.5,10090.5,108,-102,112,47,6661,3321.50,18,0.30,,,-10.75,8.60,-40.00,,,,,,,
50,25,50,10312,10404,,10100.5,10192.5,92,-118,108,10,6769,3331.50,106,1.77,,,-14.42,11.53,-40.00,,,,,,,
50,25,50,10435,10524,,10223.5,10312.5,89,-121,92,31,6861,3362.50,136,2.27,,,-15.67,12.53,-40.00,,,,,,,
50,25,50,10571,10661,,10359.5,10449.5,90,-120,89,47,6950,3409.50,131,2.18,,,-15.46,12.37,-40.00,,,,,,,
50,25,50,10694,10780,,10482.5,10568.5,86,-124,90,33,7040,3442.50,155,2.58,,,-16.46,13.17,-40.00,,,,,,,
50,25,50,10833,10923,,10621.5,10711.5,90,-120,86,53,7126,3495.50,135,2.25,,,-15.63,12.50,-40.00,,,,,,,
50,25,50,10962,11048,,10750.5,10836.5,86,-124,90,39,7216,3534.50,147,2.45,,,-16.13,12.90,-40.00,,,,,,,
50,25,50,11238,11365,,10953,11080,127,-83,86,117,7302,3651.00,0,0.00,,,-10.00,8.00,-40.00,,,,,,,
50,25,50,11413,11532,,11128,11247,119,-91,127,48,7429,3699.00,31,0.52,,,-11.29,9.03,-40.00,,,,,,,
50,25,50,11589,11705,,11304,11420,116,-94,119,57,7548,3756.00,36,0.60,,,-11.50,9.20,-40.00,,,,,,,
50,25,50,11716,11817,,11431,11532,101,-109,116,11,7664,3767.00,130,2.17,,,-15.42,12.33,-40.00,,,,,,,
50,25,50,11948,12074,,11647.5,11773.5,126,-84,101,116,7765,3882.50,0,0.00,,,-10.00,8.00,-40.00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,could not clearly see when ruin guard unfroze,,,,,,,,,,,,,,,,,,,,,,,
