Source,Vid,1st Freeze,1st Freeze Last Frame,2nd Freeze,2nd Freeze Last Frame,1st Freeze Duration,2nd Freeze Duration,frames between 1st and 2nd freeze,Duration Difference,,,,,Acceleration Per Frame,Expected Duration 1st,Decay Rate/Frame at end of 1st Freeze,Solve for initial velocity to get 2nd freeze duration,Diff between beginning and end,diff per frame,per second?,what happens if velocity recovers at 2x normal decay rate,,,,,,
Nass,1u1u.mp4,11187,11394,11595,11811,207,216,201,9,,,,,-0.0006944444444,208.9988864,-0.3118047822,-0.1564814815,0.1553233007,0.000773,,,,,ignored,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
