,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tests,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,decay rate,,,,Element Durability per Gauge unit,,FPS freeze extension test,,,,,,,Data for Plot,,,,,,,
,,,1A,,,,9.50,,,,25.00,,30,,,,,,,,,,,,,,
,,,2B,,,,6.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1A,,,,2B,,,
,Freeze start [s:frame],[s],attack GU,,Remaining hydro GU,,unfreeze [s:frame],[s],Time since last freeze [s],,time unfrozen [s],Time since first freeze [s],t_decay [s],expected initial freeze duration [e_d],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],Note,,t_decay [s],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],t_decay [s],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s]
,Video,,https://youtu.be/RyFiu694jb4,,,,,,,,,,,,,,,,,1.47,2.89,3.33,1.47,1.13,5.18,5.96,5.00
,Enemy 1,,,,,,,,,,,,,,expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],,,3.00,2.43,2.80,3.00,1.73,4.89,5.62,4.27
,front left slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.19,1.63,2B,,,,7.12,7.40,0,,,0.00,5.77,100,3.48,4.00,5.77,,,,,,,,,,
,8.05,8.17,1A,,,,10.15,10.50,6.53,,0.77,6.53,0.80,50,3.14,3.61,2.33,,,,,,,,,,
,12.13,12.43,1A,,,,15.01,15.03,4.27,,1.93,10.80,0.00,50,3.48,4.01,2.60,shatter?,,,,,,,,,
,front right slime ,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.19,1.63,2B,,,,7.12,7.40,0,,,0.00,5.77,100,3.48,4.00,5.77,,,,,,,,,,
,10.04,10.13,1A,,,,,,8.50,,2.73,8.50,0.00,50,3.48,4.01,2.30,,,,,,,,,,
,12.13,12.43,1A,,,,15.01,15.03,2.30,,,10.80,2.60,50,2.54,2.92,2.60,shatter?,,,,,,,,,
,16.09,16.30,2B,,,,20.17,20.57,3.87,,1.27,14.67,1.73,100,4.89,5.62,4.27,,,,,,,,,,
,24.11,24.37,1A,,,,27.25,27.83,8.07,,3.80,22.73,0.00,50,3.48,4.01,3.47,,,,,,,,,,
,video 5,,https://youtu.be/fL9dfFB4NsA,,,,,,,,,,,,,,,,,,,,,,,,
,leftmost slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.06,3.20,2B,,,,9.00,9.00,0,,,0.00,5.80,100,3.47,3.99,5.80,,,,,,,,,,
,10.13,10.43,1A,,,,12.24,12.80,7.23,,1.43,7.23,0.00,50,3.48,4.01,2.37,,,,,,,,,,
,13.21,13.70,1A,,,,,,3.27,,0.90,10.50,0.00,50,3.48,4.01,1.57,,,,,,,,,,
,15.08,15.27,1A,,,,17.27,17.90,1.57,,,12.07,2.63,50,2.53,2.91,2.63,,,,,,,,,,
,middle slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.06,3.20,2B,,,,8.28,8.93,0,,,0.00,5.73,100,3.49,4.01,5.73,,,,,,,,,,
,10.13,10.43,1A,,,,12.24,12.80,7.23,,1.50,7.23,0.00,50,3.48,4.01,2.37,,,,,,,,,,
,14.00,14.00,1A,,,,16.14,16.47,3.57,,1.20,10.80,0.07,50,3.45,3.97,2.47,,,,,,,,,,
,rightmost slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.06,3.20,2B,,,,9.00,9.00,0,,,0.00,5.80,100,3.47,3.99,5.80,,,,,,,,,,
,10.13,10.43,1A,,,,12.24,12.80,7.23,,1.43,7.23,0.00,50,3.48,4.01,2.37,,,,,,,,,,
,14.00,14.00,1A,,,,16.14,16.47,3.57,,1.20,10.80,0.07,50,3.45,3.97,2.47,,,,,,,,,,
,16.18,16.60,1A,,,,,,2.60,,0.13,13.40,1.43,50,2.90,3.34,1.70,,,,,,,,,,
,18.09,18.30,1A,,,,21.20,21.67,1.70,,,15.10,3.37,50,2.34,2.69,3.37,,,,,,,,,,
,video 6,,https://youtu.be/YP5ghqQDP2Y,,,,,,,,,,,,,,,,,,,,,,,,
,leftmost slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.21,2.70,2B,,,,8.10,8.33,0,,,0.00,5.63,100,3.51,4.04,5.63,,,,,,,,,,
,9.05,9.17,1A,,,,11.09,11.30,6.47,,0.83,6.47,0.47,50,3.28,3.77,2.13,,,,,,,,,,
,middle slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.21,2.70,2B,,,,8.19,8.63,0,,,0.00,5.93,100,3.43,3.95,5.93,,,,,,,,,,
,9.05,9.17,1A,,,,11.09,11.30,6.47,,0.53,6.47,1.07,50,3.04,3.49,2.13,,,,,,,,,,
,rightmost slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.21,2.70,2B,,,,8.10,8.33,0,,,0,5.63,100,3.51,4.04,5.63,,,,,,,,,,
,video 7,,https://youtu.be/d3PXy2UmTjA,,,,,,,,,,,,,,,,,,,,,,,,
,leftmost slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.20,1.67,2B,,,,7.14,7.47,0,,,0.00,5.80,100,3.47,3.99,5.80,,,,,,,,,,
,10.14,10.47,1A,,,,13.03,13.10,8.80,,3.00,8.80,0.00,50,3.48,4.01,2.63,,,,,,,,,,
,14.06,14.20,1A,,,,17.02,17.07,3.73,,1.10,12.53,0.67,50,3.19,3.67,2.87,,,,,,,,,,
,middle slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.20,1.67,2B,,,,7.14,7.47,0,,,0.00,5.80,100,3.47,3.99,5.80,,,,,,,,,,
,10.14,10.47,1A,,,,13.03,13.10,8.80,,3.00,8.80,0.00,50,3.48,4.01,2.63,,,,,,,,,,
,14.06,14.20,1A,,,,16.29,16.97,3.73,,1.10,12.53,0.57,50,3.23,3.72,2.77,,,,,,,,,,
,rightmost slime,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.20,1.67,2B,,,,7.14,7.47,0,,,0.00,5.80,100,3.47,3.99,5.80,,,,,,,,,,
,10.14,10.47,1A,,,,13.11,13.37,8.80,,3.00,8.80,0.00,50,3.48,4.01,2.90,,,,,,,,,,
,14.06,14.20,1A,,,,16.29,16.97,3.73,,0.83,12.53,1.10,50,3.02,3.48,2.77,,,,,,,,,,
,video 8,,https://youtu.be/QoRjUh-Q7sU,,,,,,,,,,,,,,,,,,,,,,,,
