https://youtu.be/UNgESz13Dxc,,,,,,,,,,,
"Using a macro to test frozen duration consistency. Results were inconsistent for very similar situations, sometimes producing both positive and negative error. Thus finding a more accurate formula does not seem likely.",,,,,,,,,,,
time,status,d cryo,d hydro,d freeze,t frozen,t unfrozen,t decay,expected,observed,error,note
02:10.917,frozen,,18.32,36.63,,0.633,6.267,1.340,1.350,-0.76%,
02:12.267,unfrozen,,,,1.350,,,,,,
02:19.867,cryo,20.00,,40.00,,,,,,,
02:20.667,frozen,18.32,,36.63,,8.400,0,2.730918448,2.733,-0.09%,
02:22.817,wet,,20.00,,,,,,,,
02:23.400,unfrozen,,,,2.733,,,,,,
02:23.683,frozen,,18.18,36.35,,0.283,2.167,2.025,1.983,,"never unfroze, so no positive error can be assessed"
02:24.817,wet,,20.00,,,,,,,,
02:25.667,frozen,,18.21,36.42,1.983,,4.150,1.625,1.633,-0.48%,
02:26.817,wet,,20.00,,,,,,,,
02:27.300,unfrozen,,,,1.633,,,,,,
02:27.667,frozen,,18.21,36.42,,0.367,5.050,1.488,1.433,3.78%,
02:28.817,wet,,20.00,,,,,,,,
02:29.100,unfrozen,,,,1.433,,,,,,
02:29.650,frozen,,18.25,36.49,,0.550,5.383,1.444,1.450,-0.39%,
02:30.817,wet,,20.00,,,,,,,,
02:31.100,unfrozen,,,,1.450,,,,,,
02:31.700,frozen,,18.14,36.28,,0.600,5.633,1.404,1.300,8.01%,biggest error seen from these tests
02:32.783,wet,,20.00,,,,,,,,
02:33.000,unfrozen,,,,1.300,,,,,,
02:33.733,frozen,,18.00,36.00,,0.733,5.467,1.415,1.350,4.84%,
02:35.083,unfrozen,,,,1.350,,,,,,
